timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 28, 2026 @ 17:48:36.462",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'show tables'",3,100711
"Jun 28, 2026 @ 17:48:36.461",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'show databases'",3,100711
"Jun 28, 2026 @ 17:48:36.461",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'SELECT DATABASE()'",3,100711
"Jun 28, 2026 @ 17:48:28.545",ubuntu22-server,"""MariaDB audit -"" Successful data definition operation: 'CREATE DATABASE demo_db'",5,100707
"Jun 28, 2026 @ 17:48:22.649",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 28, 2026 @ 17:48:22.649",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select @@version_comment limit 1'",3,100711
"Jun 28, 2026 @ 17:48:00.092",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:47:58.347",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select @@version_comment limit 1'",3,100711
"Jun 28, 2026 @ 17:47:58.347",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 28, 2026 @ 17:47:48.566",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:47:45.750",ubuntu22-server,"""MariaDB audit -"" Successful authentication: root@localhost",3,100710
"Jun 28, 2026 @ 17:47:45.750",ubuntu22-server,"""MariaDB audit -"" Successful data query: 'select @@version_comment limit 1'",3,100711
"Jun 28, 2026 @ 17:47:09.767",ubuntu22-server,"""MariaDB audit -"" Authentication failed: root@localhost",5,100704
"Jun 28, 2026 @ 17:47:09.767",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:47:07.844",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:47:07.844",ubuntu22-server,"""MariaDB audit -"" Authentication failed: root@localhost",5,100704
"Jun 28, 2026 @ 17:47:07.843",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
"Jun 28, 2026 @ 17:47:07.677",ubuntu22-server,"""MariaDB audit -"" Authentication failed: root@localhost",5,100704
"Jun 28, 2026 @ 17:47:07.677",ubuntu22-server,"""MariaDB audit -"" User session closed: root@localhost",3,100709
